match_id,point_duration_time_x,SET_GAME_POINT,rally_length,PLAYER_WIN_NAME,server_name
Indian_Wells_2023_R64_Siniakova_Haddad-Maia,20.54879601473999,1_3_6,14,HADDAD MAIA,HADDAD MAIA
Miami_2023_R32_Ostapenko_Haddad-Maia,13.664597984191897,2_1_11,8,OSTAPENKO,OSTAPENKO
US_Open_2023_1st_Stephens_Haddad-Maia,21.481,2_1_2,15,HADDAD MAIA,STEPHENS
Cincinnati_2023_R64_Muchova_Haddad-Maia,19.307,1_5_6,12,MUCHOVA,MUCHOVA
Rome_2023_R32_Linette_Haddad-Maia,31.581,2_6_1,21,HADDAD MAIA,HADDAD MAIA
Rome_2023_QF_Haddad-Maia_Kalinina,25.146,2_13_5,16,KALININA,KALININA
Miami_2023_R32_Ostapenko_Haddad-Maia,11.940958999832151,3_8_4,9,OSTAPENKO,HADDAD MAIA
Miami_2023_R64_Martincova_Haddad-Maia,19.54442500218964,3_5_2,15,MARTINCOVA,HADDAD MAIA
Indian_Wells_2023_R64_Siniakova_Haddad-Maia,20.22725910039673,1_3_2,12,SINIAKOVA,HADDAD MAIA
Madrid_2023_R64_Haddad-Maia_Andreeva,23.068,1_11_4,14,HADDAD MAIA,ANDREEVA
Rome_2023_R64_Ruse_Haddad-Maia,20.95,2_5_2,13,RUSE,HADDAD MAIA
United_Cup_2023_RR_Haddad_Maia_Helgo,14.870936008226012,1_3_1,12,HELGO,HELGO
Indian_Wells_2023_R32_Raducanu_Haddad-Maia,24.172948985855104,3_5_3,16,RADUCANU,HADDAD MAIA
US_Open_2023_R64_Townsend_Haddad-Maia,14.99,2_5_5,9,HADDAD MAIA,HADDAD MAIA
AO_2023_1st_Haddad-Maia_Parrizas-Diaz,17.84863702319336,1_13_11,13,HADDAD MAIA,PARRIZAS DIAZ
United_Cup_2023_RR_Haddad-Maia_Trevisan,14.92502093598175,2_1_1,12,TREVISAN,TREVISAN
Rome_2023_QF_Haddad-Maia_Kalinina,24.814,3_5_5,16,HADDAD MAIA,HADDAD MAIA
United_Cup_2023_RR_Haddad-Maia_Trevisan,14.114474034332275,2_6_4,11,TREVISAN,HADDAD MAIA
Rome_2023_R16_Osorio_Haddad-Maia,17.157,1_2_8,12,HADDAD MAIA,HADDAD MAIA
Indian_Wells_2023_R64_Siniakova_Haddad-Maia,20.05503506787262,3_6_1,14,HADDAD MAIA,HADDAD MAIA
Miami_2023_R64_Martincova_Haddad-Maia,19.44764996143341,2_1_4,13,MARTINCOVA,HADDAD MAIA
Cincinnati_2023_R64_Muchova_Haddad-Maia,17.8,2_7_2,12,HADDAD MAIA,HADDAD MAIA
Adelaide2_2023_4th_Haddad-Maia_Badosa,24.752335954734804,1_2_7,15,BADOSA,HADDAD MAIA
AO_2023_1st_Haddad-Maia_Parrizas-Diaz,17.55611402954254,1_13_6,11,PARRIZAS DIAZ,PARRIZAS DIAZ
